Fuente Concat,Finalidad,Unidad Responsable,Monto ejercido
Financiamientos Internos,Desarrollo Económico,Delegación Álvaro Obregón,0
Financiamientos Internos,Desarrollo Económico,Delegación Miguel Hidalgo,0
Financiamientos Internos,Desarrollo Económico,Delegación Milpa Alta,0
Financiamientos Internos,Desarrollo Económico,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
Financiamientos Internos,Desarrollo Económico,Secretaría De Obras Y Servicios,253461916.9
Financiamientos Internos,Desarrollo Económico,Sistema De Transporte Colectivo Metro,143549246.7
Financiamientos Internos,Desarrollo Social,Agencia De Gestión Urbana De La Ciudad De México,1049939450
Financiamientos Internos,Desarrollo Social,Autoridad Del Espacio Público,0
Financiamientos Internos,Desarrollo Social,Delegación Álvaro Obregón,0
Financiamientos Internos,Desarrollo Social,Delegación Azcapotzalco,4709208.36
Financiamientos Internos,Desarrollo Social,Delegación Benito Juárez,16579905.8
Financiamientos Internos,Desarrollo Social,Delegación Coyoacán,0
Financiamientos Internos,Desarrollo Social,Delegación Cuajimalpa De Morelos,0
Financiamientos Internos,Desarrollo Social,Delegación Cuauhtémoc,35440342.58
Financiamientos Internos,Desarrollo Social,Delegación Gustavo A. Madero,63121200.53
Financiamientos Internos,Desarrollo Social,Delegación Iztacalco,20227453.25
Financiamientos Internos,Desarrollo Social,Delegación Iztapalapa,75390678.98
Financiamientos Internos,Desarrollo Social,Delegación La Magdalena Contreras,7725092.95
Financiamientos Internos,Desarrollo Social,Delegación Miguel Hidalgo,0
Financiamientos Internos,Desarrollo Social,Delegación Milpa Alta,39768307.47
Financiamientos Internos,Desarrollo Social,Delegación Tláhuac,0
Financiamientos Internos,Desarrollo Social,Delegación Tlalpan,40610524.38
Financiamientos Internos,Desarrollo Social,Delegación Venustiano Carranza,20859222.16
Financiamientos Internos,Desarrollo Social,Delegación Xochimilco,12092966.03
Financiamientos Internos,Desarrollo Social,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
Financiamientos Internos,Desarrollo Social,Secretaría De Obras Y Servicios,111205764.6
Financiamientos Internos,Desarrollo Social,Secretaría De Salud,0
Financiamientos Internos,Desarrollo Social,Sistema De Aguas De La Ciudad De México,523536496.2
Financiamientos Internos,Gobierno,"Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano",0
Financiamientos Internos,Otras no Clasificadas en Funciones Anteriores,Deuda Pública,2700068745
Fondo de Aportaciones Múltiples (FAM),Desarrollo Social,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
Fondo de Aportaciones Múltiples (FAM),Desarrollo Social,Instituto Local De La Infraestructura Física Educativa,209751382.2
Fondo de Aportaciones Múltiples (FAM),Desarrollo Social,Sistema Para El Desarrollo Integral De La Familia,1024055399
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Económico,Delegación Álvaro Obregón,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Económico,Delegación Miguel Hidalgo,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Económico,Delegación Milpa Alta,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Económico,Secretaría De Desarrollo Económico,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Agencia De Gestión Urbana De La Ciudad De México,104867515.1
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Autoridad Del Espacio Público,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Álvaro Obregón,19482801.69
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Benito Juárez,51930376.48
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Coyoacán,75165310.92
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Cuajimalpa De Morelos,17946484.51
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Cuauhtémoc,8603509.07
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Gustavo A. Madero,112777493.3
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Iztacalco,51871943.9
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Iztapalapa,121305605.3
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación La Magdalena Contreras,52315954.92
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Miguel Hidalgo,51507297.62
